text,start,stop
zal toebehoren aan Bill en Melinda Gates dat is duidelijk.,00:16:03.040,00:16:05.740
"Wij slidderen hier met grote schreden in een digitale dictatuur,",00:16:06.020,00:16:09.980
En daarom wil ik vanaf deze plaats ...,00:16:10.440,00:16:12.440
de Duitse bevolking op te roepen ...,00:16:12.700,00:16:16.120
zich hier tegen te verzetten.,00:16:16.120,00:16:17.800
Ik roep u hierbij op ...,00:16:17.800,00:16:19.380
zich aan artikel 20 van de grondwet te herinneren ...,00:16:19.700,00:16:22.460
als u het niet kent ...,00:16:22.460,00:16:23.540
kunt u zich dit boek halen.,00:16:23.760,00:16:26.120
"Daar staat in artikel 20 ""U hebt het recht op verzet"".",00:16:26.360,00:16:29.160
"Dat hebben onze voorouders niet voor niets ingevoegd,",00:16:29.480,00:16:32.240
"omdat ze wisten da de democratie een probleem heeft,",00:16:32.560,00:16:35.000
dat men een democratie over democratische  middelen kan kapen.,00:16:35.320,00:16:38.520
In dit geval gaat het niet om democratisch kapen omdat ...,00:16:38.820,00:16:41.800
Bill en Melinda Gates hebben de regeringen gehackt ...,00:16:42.040,00:16:45.240
Gevraagd werden ze ja niet.,00:16:45.240,00:16:46.300
En ze worden ook niet gevraagd.,00:16:46.300,00:16:47.640
"En als u dit niet op zich wil laten zitten,",00:16:47.920,00:16:50.560
dat men u dicteert dat morgen uw kinderen ....,00:16:50.840,00:16:53.640
en u zelf met stoffen geënt worden moet ...,00:16:54.000,00:16:56.120
"die naar Bill en Melinda Gates hun kassa voeren,",00:16:56.460,00:16:58.460
en de bijwerkingen gaan op het huis ...,00:16:58.780,00:17:01.140
"Dan wordt het tijd dat u de straat op gaat,",00:17:01.520,00:17:03.900
en deze regering weg veegt.,00:17:03.900,00:17:05.800
En nu komt het punt waarom ik deze video maak.,00:17:06.000,00:17:08.920
Ik ben een gedudig mens ...,00:17:10.180,00:17:12.180
en vele mensen hebben gezegd ...,00:17:12.180,00:17:13.740
misschien kunnen we naar de normaliteit terug keren ...,00:17:14.040,00:17:16.640
als het allemaal weer wordt als voorheen ...,00:17:17.120,00:17:19.120
de lockdown opgeheven wordt ...,00:17:19.120,00:17:20.500
en dan kunnen wij dar over discuseieren.,00:17:20.560,00:17:21.800
"en ik wil u het volgende zeggen, dit is mij niet genoeg.",00:17:22.000,00:17:24.200
Dat is mij niet genoeg!,00:17:24.220,00:17:26.220
"Deze regering maakt sinds ze in dienst is,",00:17:26.560,00:17:29.260
"zo'n grote shit zooi,",00:17:29.260,00:17:30.380
Ze is zoiets van corrupt ...,00:17:30.380,00:17:32.080
"ze krijgt niet eens een vliegveld gebouwd,",00:17:32.080,00:17:33.760
"Het spoor geprivatiseerd,",00:17:34.020,00:17:35.300
het gezondheidssysteem geprivatiseerd.,00:17:35.400,00:17:36.500
"Zij heeft de verkeerde, de banken gered.",00:17:36.500,00:17:38.480
"Dwingt de hele wereld met Bill en Melinda Gates ,,,",00:17:38.720,00:17:41.260
een shitazooi in de aderen te laten drukken.,00:17:41.740,00:17:43.740
En dan heft ze ook nog de test op ...,00:17:44.040,00:17:47.920
"waar medicamenten getest worden,",00:17:47.920,00:17:49.660
"Wij zijn hun konijnen,",00:17:49.660,00:17:50.640
"wij zijn hun ratten ,,,",00:17:50.640,00:17:51.980
wij zijn een gigantisch laboratorium ...,00:17:51.980,00:17:53.680
en dat met de goede bedoelingen van Bil en Melinda Gates en Angela Merkel.,00:17:53.960,00:17:56.320
"Mij persoonlijk interesseert dit niet ,,,,",00:17:56.660,00:17:58.660
"dat men Angela Merkel onder druk zet,",00:17:59.020,00:18:01.180
Maar ik laat me dat niet gevallen.,00:18:01.180,00:18:02.720
En umoet dat ook niet op zich laten zitten.,00:18:02.720,00:18:04.420
"U moet dit uw kinderen niet aan doen,",00:18:04.660,00:18:07.280
"want u verkloot hier het leven van uw kinderen,",00:18:07.280,00:18:09.260
Bill en Melinda Gates bepalen wat in uw  en uw kinderen hun aderen gepompt wordt.,00:18:09.620,00:18:13.280
U maakt uw kinderen tot proef konijnen.,00:18:13.460,00:18:15.700
En dan stel ik u de vraag ...,00:18:15.700,00:18:16.620
"en daar zou langzamerhand uw bloeddruk moeten stijgen,",00:18:16.900,00:18:18.300
"En ik wil de ambtenaren het volgende zeggen,",00:18:18.380,00:18:20.380
"Artikel 20 geld ook voor u,",00:18:20.380,00:18:22.200
"u moet dat niet doen,",00:18:22.200,00:18:23.740
wat u daar doen moet.,00:18:23.740,00:18:25.240
Het is namelijk onwettig.,00:18:25.240,00:18:26.440
Als de wetgever de wet breekt is deze regering niet meer legitiem.,00:18:26.800,00:18:31.200
En als u dat dan evengoed uitvoert ...,00:18:31.620,00:18:33.620
dan bent u ook niet meer legitiem.,00:18:33.620,00:18:34.820
Dat stelt u zich aan de kant van de wetteloze ...,00:18:35.180,00:18:37.400
en begint een soort van burgeroorlog.,00:18:37.660,00:18:39.660
Ik wil de ambtenaren het volgende zeggen ...,00:18:39.660,00:18:41.080
"Ik wil wel eens tellen met hoe velen u bent, maar aan de andere kant staan 83 miljoen burgers.",00:18:41.440,00:18:46.540
En zal ik u wat zeggen ...,00:18:46.540,00:18:47.540
Wij hebben het zat!,00:18:47.820,00:18:50.320
U hebt de mogelijkheid om 30 jaar terug te gaan in de geschiedenis.,00:18:50.500,00:18:54.000
En daar was ook de volkspolitie ...,00:18:54.000,00:18:55.580
die van boven af gezegd kregen ...,00:18:55.580,00:18:57.320
schiet op die mensen ...,00:18:57.320,00:18:58.620
of ga er met pantsers tegen in ...,00:18:58.620,00:19:00.000
dat hebben ze niet gedaan ...,00:19:00.000,00:19:01.000
wn daarom leven we nu in een verenigd Duitsland waar geen schot viel.,00:19:01.200,00:19:04.480
Omdat deze ambtenaren het niet gedaan hebben.,00:19:04.480,00:19:06.340
"Als u daar niets van leert, en toch liever luistert naar Angela Merkel,",00:19:06.580,00:19:09.820
"die uit de DDR komt,",00:19:09.820,00:19:11.360
"en daar nooit in de oppositie opgevallen is,",00:19:11.360,00:19:12.940
"dan spijt het me dan hoort u er niet meer bij,",00:19:13.300,00:19:15.660
"Mijn appèl aan de rest van de bevolking,",00:19:15.940,00:19:17.940
ga de straat op en doe zoals in Stuttgart en ga met duizenden de straat op ....,00:19:18.100,00:19:21.720
"houd 1,50 meter afstand,",00:19:22.060,00:19:24.720
en laat u horen.,00:19:24.720,00:19:25.580
En wat ik wil is ...,00:19:25.580,00:19:27.440
het is niet genoeg dat deze regering uit hun ambt geveegd wordt ...,00:19:27.740,00:19:31.200
wij hebben een Corona onderzoek nodig.,00:19:31.420,00:19:34.160
wat zich hier afspeeld ...,00:19:34.160,00:19:35.740
dat Bill en Melinda Gates ...,00:19:35.840,00:19:37.840
de WHO kopen ...,00:19:37.900,00:19:39.900
onze overheden ondermijnen ...,00:19:39.900,00:19:41.880
de Charaté ondermijnt ...,00:19:41.880,00:19:43.540
het Robert Koch Instituut ondermijnt ...,00:19:43.860,00:19:46.140
"""Der Spiegel"" ondermijnt ...",00:19:46.140,00:19:47.340
"""Die Zeit"" ondermijnt ...",00:19:47.340,00:19:48.680
dat is een criminele vereniging!,00:19:48.940,00:19:50.940
"Dat hoort voor het gerecht,",00:19:51.220,00:19:53.860
Er moet een internationaal arrestatiebevel komen tegen Bill en Melinda Gates.,00:19:54.200,00:19:57.820
"Hun kappitaal moet in beslag genomen worden,",00:19:58.100,00:20:00.400
"Die mensen kunnen met hun rijkdom niet omgaan,",00:20:00.400,00:20:02.380
Dat horen ze niet graag en blijven ze met hun handen van Duitsland af.,00:20:02.700,00:20:07.060
Deze mensen moeten onteigend worden.,00:20:07.060,00:20:08.640
En onze politici die dit er op 15 mei er door drukken willen ...,00:20:09.060,00:20:14.420
"Deze mensen moeten ook voor het gerecht,",00:20:14.700,00:20:16.700
"en ze horen naar mijn mening,",00:20:17.080,00:20:19.080
"als de schuld bewezen wordt, en die kan bewezen worden,",00:20:19.440,00:20:21.740
"dan horen deze mensen in de gevangenis,",00:20:22.100,00:20:24.620
"4 Jaar zouden ze sowieso moeten krijgen,",00:20:24.940,00:20:27.300
"en dan moet nog wat anders gebeuren,",00:20:27.300,00:20:29.240
"niet met een royaal pensioen naar huis gaan,",00:20:29.500,00:20:31.500
"nee, die moeten terug naar de bijstand.",00:20:31.760,00:20:34.820
En dat is wat deze mensen verdienen.,00:20:34.820,00:20:36.760
"En als dat hun niet past moeten ze naar hun vrienden in Brussel reizen,",00:20:36.960,00:20:38.960
nog beter ze moeten naar DC uitreizen.,00:20:39.320,00:20:42.380
En waar ze zich thuis voelen.,00:20:42.380,00:20:44.160
"Mij valt in,",00:20:44.160,00:20:45.780
"hoe ook intern in de partijen gestroopt wordt,",00:20:46.040,00:20:48.640
"Een groene burgemeester Boris Palmer,",00:20:49.020,00:20:51.020
die dat net zo ziet als ik ...,00:20:51.280,00:20:53.280
Die plannen nu om hem er uit te werpen.,00:20:53.600,00:20:57.720
Zelfs in de partijen ....,00:20:58.080,00:21:00.920
als het daar twijfelaars geeft vliegen die er uit.,00:21:01.060,00:21:03.060
"Ik wil Joshka Fisher dicteren,",00:21:03.460,00:21:05.460
"die heeft in de krant gezet,",00:21:05.820,00:21:07.820
"""De Duitsers moet zich van hun instinctief pacifisme ver afscheiden"".",00:21:07.960,00:21:13.960
"J e moet je dat eens voorstellen,",00:21:13.960,00:21:15.800
"Daar krijgen we 70 jaar geleerd, geen oorlog meer,",00:21:16.040,00:21:20.380
"we moeten opstaan als het totalitair wordt,",00:21:20.660,00:21:22.600
en dan zijn het uitgerekend de groenen die zeggen ...,00:21:22.820,00:21:24.320
"""De Duitsers moet zich van hun instinctief pacifisme ver afscheiden"".",00:21:24.540,00:21:28.100
en dat hebben vele Duitsers al gedaan.,00:21:28.100,00:21:29.700
Van angst dragen ze hun masker.,00:21:29.960,00:21:32.800
"Ik wil nog een kleinigheid vertellen,",00:21:33.880,00:21:35.880
"Ik was vandaag in het tankstation,",00:21:35.880,00:21:37.840
Normaal zet ik de helm af ...,00:21:38.200,00:21:40.800
"de gezichtsbedekking verwijder ik, die er voor zorgt dat ik geen vliegen binnen krijg.",00:21:41.060,00:21:45.600
anders roepen die de politie en danken dat het een overval is.,00:21:45.660,00:21:47.820
Vandaag werd ik raar aangekeken omdat ...,00:21:48.320,00:21:50.320
"omdat ik de gezichtsbedekking verwijderd heb,",00:21:50.380,00:21:52.380
en zo met de mensen gesproken heb.,00:21:52.380,00:21:54.160
"Dat moet zo zijn, dat is wet.",00:21:54.380,00:21:56.540
Dit is toch het grondgebied van voormalige DDR?,00:21:56.820,00:21:58.820
Dat heeft ze bevestigt.,00:21:58.820,00:22:00.580
Als morgen een wet komt dat ze op mensen schieten moet of ze dat ook goed vind?,00:22:01.260,00:22:06.200
Dat vond ze niet leuk en ik ook niet.,00:22:06.820,00:22:08.320
Waarom?,00:22:08.320,00:22:09.040
"Wij hebben in Duisland het probleem dat als iets wettelijk is, 2x uitgevoerd hebben,",00:22:10.920,00:22:15.520
"Voor Auschwitz gaf het wetten,",00:22:15.740,00:22:18.880
En het gaf voor schietbevelen en wat we ons in de  DDR aangedaan hebben ....,00:22:19.100,00:22:22.400
gaf het ook steeds wettelijk regels.,00:22:22.580,00:22:24.580
En wij zijn altijd mee gegaan.,00:22:24.580,00:22:26.240
en nu voor de derde keer zouden wij niet moeten mee gaan.,00:22:26.540,00:22:29.080
"Dat voert ons in de totale verslaving,",00:22:29.400,00:22:31.400
"De mensen noemen die dat doen,",00:22:31.740,00:22:35.160
Dat is geen regering die ons vertegenwoordigd.,00:22:35.540,00:22:38.280
"De Amerikaanse Elite,",00:22:38.280,00:22:40.140
De farmaceutische industrie.,00:22:40.140,00:22:42.140
"Of wie dan ook, deze mensen moeten we aanpakken,",00:22:42.460,00:22:45.340
Daarom ...,00:22:45.340,00:22:46.500
"wanneer deze regering die volgens mij niet meer legaal is,",00:22:46.640,00:22:49.620
"gewoon doet wat ze wil in de achterkamer,",00:22:49.620,00:22:51.200
"en over onze lichamen beslist,",00:22:51.380,00:22:53.380
"Staat ook in de wet,",00:22:53.380,00:22:55.120
"Dat je woning niet meer beschermd is,",00:22:55.460,00:22:57.460
"En ook je lichaam niet meer beschermd is,",00:22:57.800,00:23:00.400
"Men kan u inenten of u wilt of niet,",00:23:00.680,00:23:02.940
men kan u mer vergif vol pompen of u dat wil of niet.,00:23:03.140,00:23:06.140
Een regering die dat vorderd ...,00:23:06.400,00:23:08.600
Die hoort achter tralies.,00:23:08.600,00:23:10.540
Die heeft in een democratische omgeving niets verloren.,00:23:10.860,00:23:13.040
"Die gene die dat financieren via de achter deurtjes,",00:23:13.040,00:23:16.940
Moeten met een internationaal arrestatie bevel gezocht worden.,00:23:18.060,00:23:20.260
"En als ik een politieke taak zou willen hebben,",00:23:20.740,00:23:22.740
"bijvoorbeeld in de partij weerstand 2020,",00:23:23.120,00:23:25.420
"van Bodo Scheaffman,",00:23:25.420,00:23:26.560
"en wordt er lid van om aanwezigheid te tonen,",00:23:26.760,00:23:29.200
"alleen om aanwezigheid te tonen,",00:23:29.200,00:23:31.180
"dan zal ik daar als minister van cultuur solliciteren,",00:23:31.500,00:23:34.660
voor korte tijd.,00:23:34.660,00:23:36.120
Wat zou ik dan doen?,00:23:36.120,00:23:37.080
Ik zou er voor zorgen dat ...,00:23:37.260,00:23:39.260
dat er een groot uitwissel programma komt voor Duitse scholieren in de hele wereld.,00:23:39.600,00:23:45.820
Ook in ondemocratische landen.,00:23:45.820,00:23:47.120
"Om te laten zien dat die anderen die als slecht verkocht wprden, niet zo slecht zijn.",00:23:47.360,00:23:50.280
We sturen onze scholieren naar Amerika ...,00:23:50.520,00:23:52.520
we sturen ze naar Frankrijk ...,00:23:52.520,00:23:54.220
maar we zouden ze net zo goed naar China sturen ...,00:23:54.220,00:23:55.920
naar Rusland sturen ....,00:23:55.920,00:23:56.920
naar Iran sturen ...,00:23:56.920,00:23:58.220
we moeten ze overal naar toe sturen zodat ze zich zelf een beeld kunnen vormen.,00:23:58.720,00:24:00.720
"En wat ik ook nog zou doen,",00:24:01.020,00:24:03.580
ik zou de pers doorlichten want ....,00:24:03.800,00:24:05.800
"als de GEZ media dot wat ze doet,",00:24:05.980,00:24:07.980
"dat ze ons laten betalen,",00:24:07.980,00:24:09.480
"en eenzijdig verslag geven,",00:24:09.660,00:24:11.660
"en dat steeds de mening van die gene die door Gates gefinancierd worden laten horen,",00:24:11.960,00:24:17.040
"dan doen ze hun werk niet, en zij moeten hun werk doen.",00:24:17.320,00:24:19.320
"Ze worden er voor betaald, dat is hun werk,",00:24:19.660,00:24:21.660
Dan moeten ze laten zien dat ze hun werk gedaan hebben ...,00:24:21.840,00:24:23.840
"als ze dat gedaan hebben zoals ""Der Spiegel"", ""Die Welt"",",00:24:24.060,00:24:27.420
"dan zou chef redacteuren zeggen jullie kunnen met de perskaart ook niet omgaan,",00:24:27.600,00:24:32.000
"doe wat anders, wordt heftruck chauffeur, ga in een ziekenhuis werken of doe wat anders.",00:24:32.200,00:24:36.640
"Dat maakt mij niets uit,",00:24:36.940,00:24:37.840
maar in zulke functie hebben jullie niets meer te zoeken.,00:24:37.880,00:24:39.880
"Dat is wat ik doen zou, en daar sta ik voor.",00:24:40.360,00:24:42.740
Ik zal mijn rebellie ...,00:24:43.600,00:24:45.600
en ik blijf er bij ...,00:24:45.600,00:24:47.600
rebellie voor mijn kinderen ...,00:24:47.600,00:24:48.940
en iedereen dei kinderen heeft en niet durven ...,00:24:48.940,00:24:50.640
ik zal met deze rebellie eerst stoppen ...,00:24:50.640,00:24:52.460
als deze regering met deze politici ...,00:24:52.880,00:24:54.880
die in een corona tribunaal zitten ....,00:24:54.880,00:24:56.740
en zich verantwoorden moeten.,00:24:56.740,00:24:57.900
Omdat ze ons land ruïneren.,00:24:57.900,00:24:59.480
En als wij nu niet de straat op gaan ...,00:24:59.480,00:25:01.180
en in opstand komen ...,00:25:01.180,00:25:02.340
en gewoon als schapen toekijken ...,00:25:02.340,00:25:04.020
"dan worden we in een gezondheids-dictatuur wakker,",00:25:04.020,00:25:05.640
"met een digitale identiteit,",00:25:05.640,00:25:07.320
"met dat die over een cloud loopt,",00:25:07.320,00:25:09.020
"en ons verkopen,",00:25:09.020,00:25:10.520
wij zijn dan alleen nog maar data.,00:25:10.520,00:25:11.600
Is het dat waar onze voorouder voor gestreden hebben?,00:25:11.940,00:25:15.080
Is het dat dat we uit de 1ste en 2de wereldoorlog geleerd hebben?,00:25:15.420,00:25:17.660
Dat we ons dat alles laten gevallen?,00:25:17.660,00:25:19.400
"Ik geloof van niet,",00:25:19.400,00:25:20.580
"om deze reden wil ik het nog een keer zeggen,",00:25:20.580,00:25:22.440
"Stuttgart, jullie doen je werk goed,",00:25:23.120,00:25:25.120
"omdat jullie de straat op gaan,",00:25:25.120,00:25:26.100
want jullie weten precies hoe ver de regering gaat.,00:25:26.400,00:25:28.400
"Herinneren jullie je nog aan de beelden,",00:25:28.480,00:25:30.480
"waar een oudere heer de straat op ging,",00:25:30.760,00:25:32.760
"tegen Stuttgart 21,",00:25:32.760,00:25:34.260
en ook de politie heeft deze man ...,00:25:34.560,00:25:37.420
hebben die man zodanig met een waterkanon in het gezicht gespoten ...,00:25:37.680,00:25:40.660
dat hij nu blind is.,00:25:40.660,00:25:41.460
Daar gaf het ook een wet voor.,00:25:41.460,00:25:42.960
"Daarom is het goed wat jullie doen, en jullie dit niet laten gevallen.",00:25:42.980,00:25:44.980
"En ik zal jullie één ding zeggen, als jullie zo verder gaan ...",00:25:45.200,00:25:47.200
"ik ken jullie Schwaben,",00:25:47.500,00:25:48.800
"in ben in Schwaben opgegroeid,",00:25:49.000,00:25:49.940
"jullie hebben niet de nijging tot rebellie,",00:25:50.220,00:25:52.220
"maar als jullie woedend zijn ,,,",00:25:52.220,00:25:53.720
"Dan kom ik naar Stuttgart,",00:25:53.720,00:25:55.340
ik kom naar Stuttgart en ik wil ...,00:25:55.340,00:25:56.420
"jullie daar ondersteunen,",00:25:56.420,00:25:58.120
en ik wil jullie nogmaals zeggen ...,00:25:58.120,00:25:59.660
laat jullie onder geen voorwaarde opdelen in links en rechts.,00:25:59.660,00:26:01.780
"Het geeft geen oppositie,",00:26:02.060,00:26:04.060
"het geeft geen oppositie,",00:26:04.060,00:26:05.600
"het geeft geen linkse, het geeft geen rechtse,",00:26:05.600,00:26:07.180
het geeft ook geen oppositie  GEZ ...,00:26:07.560,00:26:09.560
of  groep pers,00:26:09.560,00:26:10.840
"ze zijn allemaal deze mening,",00:26:11.020,00:26:12.000
en daarom kunnen we zien ...,00:26:12.000,00:26:13.320
als wij de democratie redden willen ....,00:26:13.320,00:26:15.260
dan kunnen we ons niet op politici verlaten want die zijn gekocht ...,00:26:15.420,00:26:17.420
we kunnen ons niet op de media verlaten want die zijn gekocht ...,00:26:17.640,00:26:19.640
we kunnen ons niet op privé media verlaten ...,00:26:19.900,00:26:21.900
want die zijn ook gekocht.,00:26:21.900,00:26:22.940
We kunnen ons alleen nog op burger media verlaten.,00:26:22.940,00:26:24.760
"Want dit medium is ja een burger medium,",00:26:24.960,00:26:26.960
"deze is dor crowd gefinancierd en donaties,",00:26:27.200,00:26:29.200
"jullie doen dat, veel dank daar voor.",00:26:29.200,00:26:31.140
"Ga zaterdag de straat op,",00:26:31.340,00:26:33.340
"waar jullie dat ook doen,",00:26:33.340,00:26:35.060
"Deel ons dat mee,",00:26:35.060,00:26:36.280
"ik heb het in München gezien,",00:26:36.280,00:26:37.660
"in Mümchen, in Heidenheim,",00:26:37.660,00:26:39.440
"in Leipzig daar hebben jullie traditie,",00:26:39.440,00:26:41.180
"in Stuttgart, in Berlijn,",00:26:41.240,00:26:43.240
"in Potsdam, het zal mij een zorg zijn,",00:26:43.240,00:26:44.900
"laat deze regering zien dat we met velen zijn,",00:26:45.120,00:26:47.560
dat wij 83 miljoen burgers ....,00:26:47.880,00:26:49.880
dat wij er genoeg van hebben.,00:26:49.880,00:26:51.640
"Gooi jullie Tv's weg, kijk gen nieuws berichten meer,",00:26:52.660,00:26:55.860
"maar maak jullie slim hoe men jullie inlijven wil,",00:26:56.160,00:26:58.540
hoe men met angst en corona ...,00:26:58.900,00:27:01.100
"jullie identiteit stelen wil,",00:27:01.100,00:27:02.920
en jullie in een gezondheids gevangenis zetten wil.,00:27:02.920,00:27:04.740
Dat alles is gefinancierd door één echtpaar ....,00:27:04.820,00:27:06.820
Bill wn Melinda Gates ...,00:27:06.820,00:27:08.200
die met geld niet omgaan kunnen.,00:27:08.200,00:27:09.500
"Wij moeten over deze economie nadenken,",00:27:09.720,00:27:11.720
ik wil na deze lockdown niet meer terug in deze wereld ...,00:27:12.100,00:27:14.100
dat wil ik niet meer.,00:27:14.100,00:27:15.040
"Wij moeten zien hoe gevaarlijk het is,",00:27:15.260,00:27:17.260
"dat mensen zo rijk worden,",00:27:17.320,00:27:19.320
"en alles tot zich nemen kunnen,",00:27:19.320,00:27:20.700
en de wereld omvormen zoals zij dat willen.,00:27:20.920,00:27:22.920
Want als overmorgen ...,00:27:22.920,00:27:24.140
Wanneer overmorgen bevolen wordt dat ....,00:27:24.140,00:27:25.920
dat iemand die hun mening heeft nog zwanger worden mag ...,00:27:26.200,00:27:29.360
en anders dwang gesteriliseerd word ....,00:27:29.660,00:27:31.660
dan zal men hier ook de wet wijzigen.,00:27:31.660,00:27:33.000
Dat zullen dan ook mensen doen.,00:27:33.000,00:27:34.620
Laat het niet zo ver komen.,00:27:34.620,00:27:35.440
Ik was onlangs in de supermarkt met een gevechtshelm ...,00:27:35.720,00:27:38.660
om te zien of je daar mee opvalt.,00:27:38.800,00:27:40.000
Dat was niet zo.,00:27:40.140,00:27:40.840
De meesten van ons hebben zoveel angst om op te vallen ...,00:27:41.100,00:27:44.360
dat ze liever verkeerd mee gaan aan het goed front.,00:27:44.780,00:27:46.780
"En dat is het punt, ik heb het al een keer gezegd,",00:27:46.960,00:27:48.960
"op de weg naar het front, en we bevinden ons op weg naar het front,",00:27:49.120,00:27:52.740
speelt het geen rol of je op de linkse of rechtse kant marcheerd.,00:27:52.900,00:27:55.500
En we moeten ophouden deze mensen te volgen ...,00:27:55.860,00:27:58.740
"We hebben een andere vorm van regering nodig,",00:27:59.120,00:28:01.120
een transparante democratie.,00:28:01.120,00:28:02.540
"Er bestaat ook een democratie app,",00:28:02.540,00:28:04.160
daar kunnen we afstemmen wie is voor ....,00:28:04.480,00:28:07.800
de maatregelen en welke alternatieven geeft het dan.,00:28:08.000,00:28:10.460
Dan gaan we terug naar een werkelijke normaliteit.,00:28:10.760,00:28:12.760
Maar daaraan heeft de regering geen interesse.,00:28:13.040,00:28:15.300
Daarom moeten wij het doen.,00:28:15.300,00:28:16.640
"En als jij in dit land of een ander land,",00:28:16.960,00:28:19.060
"wat veranderen wilt,",00:28:19.060,00:28:20.680
en de grondwet voor je kinderen redden wil ...,00:28:21.060,00:28:23.060
dan blijft maar één ding ...,00:28:23.060,00:28:24.040
je moet de straat op gaan!,00:28:24.040,00:28:25.920
"En als de politie zegt dat is verboden,",00:28:26.480,00:28:28.480
dat interesseert me niet!,00:28:28.700,00:28:30.700
"Omdat die wet die de politie probeert ui te voeren,",00:28:31.040,00:28:33.900
spreekt tegen de grondwet.,00:28:33.900,00:28:35.560
"Het is illegaal, het is niet legaal.",00:28:35.880,00:28:37.880
"en zo'n regering kan afdanken,",00:28:38.100,00:28:40.100
"net als in 1989 toen Mielke, Erich Honnecker en Egon Krenz gezegd hebben ...",00:28:40.360,00:28:43.820
het moet steeds zo verder gaan.,00:28:43.820,00:28:45.480
De burgers hebben zich daar tegen verzet ....,00:28:45.480,00:28:47.340
hebben de muur neer gehaald ....,00:28:47.340,00:28:49.120
dat was ook illegaal ...,00:28:49.120,00:28:50.580
"daarvoor gaf het geen wet,",00:28:50.580,00:28:51.680
maar dat was de enigste weg in de vrijheid.,00:28:51.680,00:28:53.140
Je moet je over een illegale regering ..,00:28:53.440,00:28:55.440
"die volkomen het contact met de bevolking verloren heeft,",00:28:55.520,00:28:57.520
die aan haar elite kleeft.,00:28:57.520,00:28:59.460
Daar moet je je tegen verzetten.,00:28:59.460,00:29:01.440
"Dat is niet je recht,",00:29:01.440,00:29:02.740
"maar dat is je plicht,",00:29:02.740,00:29:03.620
je hebt kinderen.,00:29:03.620,00:29:04.920
Dat is je enigste opdracht!,00:29:04.920,00:29:06.380
Je moet er voor zorgen dat je kinderen ...,00:29:06.380,00:29:08.360
niet in en minder vrije omgeving wakker worden als jij zelf.,00:29:08.700,00:29:11.560
Dat is je verplichting.,00:29:11.560,00:29:12.700
Vecht voor die vrijheid die jou  voorouders geregeld hebben.,00:29:13.180,00:29:16.060
En zorg er voor dat ook je kinderen een vrije mening hebben.,00:29:16.440,00:29:18.840
Eindelijk een vrije pers hebben.,00:29:19.060,00:29:20.480
een directe democratie hebben en geen achter deur democratie.,00:29:20.660,00:29:22.060
En waar men niet 4 jaar wachten moet ...,00:29:22.440,00:29:24.440
omdat dingen geregeld werden en dan pas bezwaar tegen gemaakt kan worden.,00:29:24.680,00:29:26.680
Zodat men bij belangrijke beslisingen ...,00:29:26.980,00:29:29.740
"daarbij hoort ook of men uw woning binnen dringen mag,",00:29:29.840,00:29:31.840
"die rotzooi in uw bloedaderen spuiten mag,",00:29:31.840,00:29:33.780
en jouw eerst vragen moet.,00:29:33.780,00:29:35.420
In een systeem waar dat niet mogelijk is ...,00:29:35.420,00:29:37.120
"en dat is momenteel in Duitsland waar deze besluiten genomen worden,",00:29:37.340,00:29:39.340
in zo'n systeem ...,00:29:39.340,00:29:40.680
is het verboden om van democratie te spreken.,00:29:40.680,00:29:42.300
Dat is een gezondheids-dictatuur.,00:29:42.300,00:29:44.200
En het wordt alleen beter als je je verzet en deze mensen terecht stelt.,00:29:44.480,00:29:49.100
Wij hebben een corona tribunaal nodig ....,00:29:49.560,00:29:52.340
en deze mensen die dit alles aangericht hebben ...,00:29:52.340,00:29:54.340
"iedere partij, iedere politici,",00:29:54.340,00:29:56.200
die dat ondertekend heeft ...,00:29:56.300,00:29:58.300
is niet geschikt voor een democratie.,00:29:58.300,00:30:00.160
Dat zeg ik jullie.,00:30:00.160,00:30:01.260
Ik verwacht jullie op de straat.,00:30:01.260,00:30:02.820
Ik verwacht jullie en ...,00:30:02.820,00:30:04.180
ik laat me voor deze onzin ook arresteren.,00:30:04.280,00:30:06.280
Dus denk er over na ...,00:30:06.280,00:30:08.260
"Mijn naam sik Ken Jebsen,",00:30:08.260,00:30:09.800
"Download deze video, verspreid het,",00:30:10.520,00:30:12.520
"ben woedend, want wat zich her afspeelt,",00:30:12.820,00:30:14.820
dat wurgt ons allen.,00:30:15.600,00:30:17.600
"En als we daar niet tegen in gaan,",00:30:17.600,00:30:19.380
"hebben we het niet verdiend in vrijheid te leven,",00:30:19.880,00:30:21.880
dan landen we we in de gezondheids-gevangenis.,00:30:21.880,00:30:23.620
Aangestuurd door Bill en Melinda Gates ...,00:30:24.240,00:30:26.580
en de farmaceutische industrie.,00:30:26.580,00:30:27.880
Een nachtmerrie!,00:30:27.880,00:30:29.220
